2;0002;066;0307;MUEBLE ESPECIAL, MATERIAL: FORMICA, COLOR: NEGRO COO CHERRY;;;;FORMICA;NEGRO COO CHERRY;BUENO
2;0002;105;0102;NEVERA,MODELO: 5.3,SERIAL: 060630-00664, COLOR: GRIS;;5.3;;;GRIS;MALO
2;0002;105;0203;NEVERA, MARCA: GENERAL PLUS,MODELO: GP-W60-INX,SERIAL: 061201675;GENERAL PLUS;GP-W60-INX;;;;BUENO
2;0002;149;0264;BASE PARA TELEVISOR, COLOR: PLATEADO;;;;;PLATEADO;BUENO
2;0005;003;0417;TARJETA DE RED,SERIAL: 097279593;;;;;;BUENO
2;0005;003;0460;ANTENA,SERIAL: NW122NXT120909201472;;;;;;MALO
2;0005;003;0678;ANTENA,SERIAL: 2887BA005507;;;;;;BUENO
2;0005;007;0314;CENTRAL TELEFONICA, MARCA: PANASONIC,MODELO: KX-T7730X,SERIAL: KX-T7730X71ASC591928, COLOR: BEIGE;PANASONIC;KX-T7730X;;;BEIGE;BUENO
2;0005;033;0090;FAX, MARCA: PANASONIC,MODELO: KX-FHD332,SERIAL: 6IABA136848, COLOR: BEIGE;PANASONIC;KX-FHD332;;;BEIGE;BUENO
2;0010;001;0001;AIRE ACONDICIONADO , MARCA: DP,MODELO: SPLIT,SERIAL: 0224, COLOR: BEIGE;DP;SPLIT;;;BEIGE;MALO
2;0010;001;0002;AIRE ACONDICIONADO , MARCA: DP,MODELO: SPLIT,SERIAL: 0229, COLOR: BEIGE;DP;SPLIT;;;BEIGE;MALO
2;0012;001;0075;HORNO , MARCA: LG,MODELO: MS-0745,SERIAL: 607TARU01726;LG;MS-0745;;;;BUENO
2;0012;002;0571;PLUG CONVERTIDOR, MARCA: SHURE,MODELO: DV2022K;SHURE;DV2022K;;;;BUENO
2;0012;003;0574;EXTENSION DE CORRIENTE Y REGLETA,MODELO: PN12DUI;;PN12DUI;;;;BUENO
2;0101;001;0033;COMPUTADOR, MARCA: AUSE,MODELO: 2.66 GHD101 DDRR512MB DD80GB ,SERIAL: IAS6218LC01112;AUSE;2.66 GHD101 DDRR512MB DD80GB;;;;MALO
2;0101;001;0118;COMPUTADOR, MARCA: XTECH,MODELO: INTEL PENTIUM,SERIAL: LO5916620600059;XTECH;INTEL PENTIUM;;;;BUENO
2;0101;001;0449;COMPUTADOR CPU,SERIAL: 003067A58E07;;;;;;BUENO
2;0101;002;0187;CORNETAS 03 PIEZAS, MARCA: SIRAGON,MODELO: SSP-340,SERIAL: VZGT0502SSP34001965;SIRAGON;SSP-340;;;;REGULAR
2;0101;004;0465;MOUSE, MARCA: S/M,MODELO: ID010GNK94,SERIAL: MX034410MOU98321174;S/M;ID010GNK94;;;;BUENO
2;0101;004;0541;MOUSE, MARCA: GENIUS,SERIAL: X73583207856;GENIUS;;;;;BUENO
2;0101;004;0542;MOUSE, MARCA: GENIUS,SERIAL: X66329801144;GENIUS;;;;;MALO
2;0101;005;0454;MONITOR , MARCA: ACER,MODELO: V183HL,SERIAL: ETLKF0D001043033828501;ACER;V183HL;;;;BUENO
2;0101;005;0594;MONITOR PANTALLA PLANA,MODELO: LS19A17300NS/ZM,SERIAL: ZTRPHVJBA03020Z, COLOR: GRIS;;LS19A17300NS/ZM;;;GRIS;MALO
