grupo;subgrupo;seccion;ident;description;model;serial;color;status
2;0001;004;0345;ARTURITO, MATERIAL: MADERA/FORMICA, COLOR: NEGRO CON CHERRY;;;NEGRO CON CHERRY;BUENO
2;0001;004;0346;ARTURITO, MATERIAL: MADERA/FORMICA, COLOR: NEGRO CON CHERRY;;;NEGRO CON CHERRY;BUENO
2;0001;004;0348;ARCHIVO , MATERIAL: MADERA/FORMICA, COLOR: NEGRO CON ROYAL CHERRY;;;NEGRO CON ROYAL CHERRY;BUENO
2;0001;004;0349;ARCHIVO , MATERIAL: MADERA/FORMICA, COLOR: NEGRO CON ROYAL CHERRY;;;NEGRO CON ROYAL CHERRY;BUENO
2;0001;004;0350;ARCHIVO , MATERIAL: MADERA/FORMICA, COLOR: NEGRO CON ROYAL CHERRY;;;NEGRO CON ROYAL CHERRY;BUENO
2;0001;042;0353;ESCRITORIO, MATERIAL: FORMICA, COLOR: NEGRO CON ROYAL CHERRY;;;NEGRO CON ROYAL CHERRY;BUENO
2;0001;102;0356;SILLA CON BRAZOS, CON BASE NYLON SISTEMA NEUMATICO,MODELO: BRUSELA ERGONOMICA, MATERIAL: TELA, COLOR: NEGRO;BRUSELA ERGONOMICA;;NEGRO;REGULAR
2;0001;114;0358;PORTA CPU, COLOR: NEGRO;;;NEGRO;REGULAR
2;0001;114;0359;PORTA CPU, COLOR: NEGRO;;;NEGRO;BUENO
2;0001;114;0361;PORTA CPU, MATERIAL: PL�STICO, COLOR: NEGRO;;;NEGRO;REGULAR
2;0001;114;0362;PORTA CPU, MATERIAL: PLASTICO, COLOR: NEGRO;;;NEGRO;BUENO
2;0101;012;0364;MODULO NOMINA;;;;BUENO
2;0101;001;0365;COMPUTADOR , MARCA: SIN MARCA,SERIAL: UY30828072838;;;;BUENO
2;0001;105;0376;SUMADORA, MARCA: CASIO,MODELO: DR140TM,SERIAL: 620AQ87EA038786;DR140TM;;;BUENO
2;0101;001;0385;COMPUTADOR CPU, MARCA: TECH,MODELO: ATX MICRO ATX MB,SERIAL: 89MOX1052775;ATX MICRO ATX MB;;;BUENO
2;0101;005;0389;MONITOR, MARCA: SAMSUNG,MODELO: LS17PENSF/XBM,SERIAL: PE17HVKQA02245L;LS17PENSF/XBM;;;BUENO
2;0101;013;0413;EQUIPO BIOMETRICO,SERIAL: 22610193;;;;MALO
